% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
58748 +1.194527678e+03 +1.194527678e+03 +1.511857678e+03 +1.511857678e+03
60027 +1.169876208e+03 +1.169876208e+03 +1.487206208e+03 +1.487206208e+03
154961 +1.045459506e+03 +1.045459506e+03 +1.362789506e+03 +1.362789506e+03
2894969 +1.014095471e+03 +1.014095471e+03 +1.331425471e+03 +1.331425471e+03
13618452 +9.858492134e+02 +9.858492134e+02 +1.303179213e+03 +1.303179213e+03
17183172 +9.208910023e+02 +9.208910023e+02 +1.238221002e+03 +1.238221002e+03
28832892 +7.800848558e+02 +7.800848558e+02 +1.097414856e+03 +1.097414856e+03
% function evaluation | noise-free fitness - Fopt (3.384000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.383786875e+03 +5.383786875e+03 +5.722186875e+03 +5.722186875e+03
2 +3.218998725e+03 +3.218998725e+03 +3.557398725e+03 +3.557398725e+03
5 +2.181516474e+03 +2.181516474e+03 +2.519916474e+03 +2.519916474e+03
145 +2.104542922e+03 +2.104542922e+03 +2.442942922e+03 +2.442942922e+03
155 +1.485120755e+03 +1.485120755e+03 +1.823520755e+03 +1.823520755e+03
2434 +1.317394161e+03 +1.317394161e+03 +1.655794161e+03 +1.655794161e+03
16475 +1.254440265e+03 +1.254440265e+03 +1.592840265e+03 +1.592840265e+03
128079 +1.209682258e+03 +1.209682258e+03 +1.548082258e+03 +1.548082258e+03
224091 +1.187352897e+03 +1.187352897e+03 +1.525752897e+03 +1.525752897e+03
479915 +1.094098086e+03 +1.094098086e+03 +1.432498086e+03 +1.432498086e+03
2504541 +1.052884691e+03 +1.052884691e+03 +1.391284691e+03 +1.391284691e+03
2791775 +1.035320011e+03 +1.035320011e+03 +1.373720011e+03 +1.373720011e+03
5258777 +9.831428228e+02 +9.831428228e+02 +1.321542823e+03 +1.321542823e+03
11624888 +9.411961161e+02 +9.411961161e+02 +1.279596116e+03 +1.279596116e+03
13400107 +8.672351843e+02 +8.672351843e+02 +1.205635184e+03 +1.205635184e+03
22665091 +8.391032568e+02 +8.391032568e+02 +1.177503257e+03 +1.177503257e+03
25865894 +8.245359497e+02 +8.245359497e+02 +1.162935950e+03 +1.162935950e+03
114261402 +7.422279309e+02 +7.422279309e+02 +1.080627931e+03 +1.080627931e+03
% function evaluation | noise-free fitness - Fopt (-4.940000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.147235009e+03 +3.147235009e+03 +3.097835009e+03 +3.097835009e+03
3 +2.573345329e+03 +2.573345329e+03 +2.523945329e+03 +2.523945329e+03
